,address,adtype,latitude,longitude,panel_id,postcode,site_id
0,Asda Isle of Dogs 151 East Ferry Road London,Asda - Digital,51.494284,-0.012398,173419,E14 3BT,127438.0
0,Asda Leyton Leyton Mills Centre London,Asda - Digital,51.555821,-0.009437,173420,E10 5NH,127439.0
0,The Windmill 44 Lambeth High Street London,Pubs & Bars - Digital,51.493092,-0.12033,173435,SE1 7JS,127451.0
0,Asda Old Kent Road 520 Old Kent Road London,Asda - Digital,51.484014,-0.069599,173450,SE1 5BA,127466.0
0,Belgravia 152 Ebury St London,Pubs & Bars - Digital,51.492407,-0.151561,173847,SW1W 9JL,127770.0
0,Phoenix 51 Moscow Road London,Pubs & Bars - Digital,51.512375,-0.18987,173886,W2 4AL,127783.0
0,ST PAULS WAY 51M W/O BAYTHORNE STREET  29M E/O & OPP WALLWOOD STREET,Bus Shelters,51.517524,-0.028426,174123,E3 4LA,127025.0
0,Monument 18 Fish Street Hill London,Pubs & Bars - Digital,51.510084,-0.086192,174170,EC3R 6DB,128147.0
0,Morpeth Street jnc Roman Road Tower Hamlets,Phoneboxes - Digital,51.528827,-0.04805,174204,E2 0QN,128175.0
0,o/s 84 Cambridge Heath Road Tower Hamlets,Phoneboxes - Digital,51.523476,-0.054848,174215,E1 5QJ,128186.0
0,Cordelia Street nr Young Prince Public House Tower Hamlets,Phoneboxes - Digital,51.5139,-0.01567,174216,E14 6AT,128187.0
0,o/s 211 Roman Road opp Smart Street Tower Hamlets,Phoneboxes - Digital,51.529568,-0.045475,174217,E2 0QY,128188.0
0,o/s 339 Bethnal Green Road Tower Hamlets,Phoneboxes - Digital,51.526739,-0.062613,174218,E2 6LG,128189.0
0,opp 371 Hackney Road adj Hadrian Estate Tower Hamlets,Phoneboxes - Digital,51.531452,-0.063993,174219,E2 7AS,128190.0
0,Gibraltar Walk jnc Bethnal Green Road Tower Hamlets,Phoneboxes - Digital,51.525648,-0.070029,174220,E2 7DG,128191.0
0,o/s 457 Bethnal Green Road Tower Hamlets,Phoneboxes - Digital,51.527338,-0.05747,174235,E2 9QH,128212.0
0,o/s 190 Old Kent Road Southwark,Phoneboxes - Digital,51.490368,-0.08069,174245,SE1 5TY,128221.0
0,adj Lambrook House Clifton Estates Southwark,Phoneboxes - Digital,51.473889,-0.064643,174246,SE15 5EQ,128222.0
0,Shelmerdine Close o/s St.Pauls Way Centre Tower Hamlets,Phoneboxes - Digital,51.518244,-0.025607,174249,E3 4AN,128225.0
0,o/s 2-4 Stroudley Walk o/s Post Office Tower Hamlets,Phoneboxes - Digital,51.527858,-0.017553,174265,E3 3AJ,128245.0
0,St Stephens Road jnc Old Ford Road Tower Hamlets,Phoneboxes - Digital,51.534942,-0.033947,174266,E3 5JU,128246.0
0,o/s 79a-80 Grand Parade Green Lanes Haringey,Phoneboxes - Digital,51.577376,-0.098703,174270,N4 1DX,128250.0
